ExtUtils::Typemaps::OutputMap,3.18,
ExtUtils::Typemaps::Type,3.18,
ExtUtils::XSSymSet,1.2,
ExtUtils::testlib,6.66,
Fatal,2.13,
Fcntl,1.11,
File::Basename,2.84,
File::CheckTree,4.42,
File::Compare,1.1006,
File::Copy,2.26,
File::DosGlob,1.10,
File::Fetch,0.38,
File::Find,1.23,
File::Glob,1.20,
File::GlobMapper,1.000,
File::Path,2.09,
File::Spec,3.40,
File::Spec::Cygwin,3.40,
File::Spec::Epoc,3.40,
File::Spec::Functions,3.40,
File::Spec::Mac,3.40,
File::Spec::OS2,3.40,
File::Spec::Unix,3.40,
File::Spec::VMS,3.40,
File::Spec::Win32,3.40,
File::Temp,0.23,
File::stat,1.07,
FileCache,1.08,
FileHandle,2.02,
Filter::Simple,0.89,
Filter::Util::Call,1.45,
FindBin,1.51,
GDBM_File,1.15,
Getopt::Long,2.39,
Getopt::Std,1.07,
HTTP::Tiny,0.025,
Hash::Util,0.16,
Hash::Util::FieldHash,1.10,
I18N::Collate,1.02,
I18N::LangTags,0.39,
I18N::LangTags::Detect,1.05,
I18N::LangTags::List,0.39,
I18N::Langinfo,0.10,
IO,1.28,
IO::Compress::Adapter::Bzip2,2.060,
IO::Compress::Adapter::Deflate,2.060,
IO::Compress::Adapter::Identity,2.060,
IO::Compress::Base,2.060,
IO::Compress::Base::Common,2.060,
IO::Compress::Bzip2,2.060,
IO::Compress::Deflate,2.060,
IO::Compress::Gzip,2.060,
IO::Compress::Gzip::Constants,2.060,
IO::Compress::RawDeflate,2.060,
IO::Compress::Zip,2.060,
IO::Compress::Zip::Constants,2.060,
IO::Compress::Zlib::Constants,2.060,
IO::Compress::Zlib::Extra,2.060,
IO::Dir,1.10,
IO::File,1.16,
IO::Handle,1.34,
IO::Pipe,1.15,
IO::Poll,0.09,
IO::Seekable,1.10,
IO::Select,1.21,
IO::Socket,1.36,
IO::Socket::INET,1.33,
IO::Socket::UNIX,1.24,
IO::Uncompress::Adapter::Bunzip2,2.060,
IO::Uncompress::Adapter::Identity,2.060,
IO::Uncompress::Adapter::Inflate,2.060,
IO::Uncompress::AnyInflate,2.060,
IO::Uncompress::AnyUncompress,2.060,
IO::Uncompress::Base,2.060,
IO::Uncompress::Bunzip2,2.060,
IO::Uncompress::Gunzip,2.060,
IO::Uncompress::Inflate,2.060,
IO::Uncompress::RawInflate,2.060,
IO::Uncompress::Unzip,2.060,
IO::Zlib,1.10,
IPC::Cmd,0.80,
IPC::Msg,2.03,
IPC::Open2,1.04,
IPC::Open3,1.13,
IPC::Semaphore,2.03,
IPC::SharedMem,2.03,
IPC::SysV,2.03,
JSON::PP,2.27202,
JSON::PP::Boolean,,undefined
List::Util,1.27,
List::Util::XS,1.27,
Locale::Codes,3.25,
Locale::Codes::Constants,3.25,
Locale::Codes::Country,3.25,
Locale::Codes::Country_Codes,3.25,
Locale::Codes::Country_Retired,3.25,
Locale::Codes::Currency,3.25,
Locale::Codes::Currency_Codes,3.25,
Locale::Codes::Currency_Retired,3.25,
Locale::Codes::LangExt,3.25,
Locale::Codes::LangExt_Codes,3.25,
Locale::Codes::LangExt_Retired,3.25,
Locale::Codes::LangFam,3.25,
Locale::Codes::LangFam_Codes,3.25,
Locale::Codes::LangFam_Retired,3.25,
Locale::Codes::LangVar,3.25,
Locale::Codes::LangVar_Codes,3.25,
Locale::Codes::LangVar_Retired,3.25,
Locale::Codes::Language,3.25,
Locale::Codes::Language_Codes,3.25,
Locale::Codes::Language_Retired,3.25,
Locale::Codes::Script,3.25,
Locale::Codes::Script_Codes,3.25,
Locale::Codes::Script_Retired,3.25,
Locale::Country,3.25,
Locale::Currency,3.25,
Locale::Language,3.25,
Locale::Maketext,1.23,
Locale::Maketext::Guts,1.20,
Locale::Maketext::GutsLoader,1.20,
Locale::Maketext::Simple,0.21,
Locale::Script,3.25,
Log::Message,0.06,
Log::Message::Config,0.06,
Log::Message::Handlers,0.06,
Log::Message::Item,0.06,
Log::Message::Simple,0.10,
MIME::Base64,3.13,
MIME::QuotedPrint,3.13,
Math::BigFloat,1.998,
Math::BigFloat::Trace,0.32,
Math::BigInt,1.9991,
Math::BigInt::Calc,1.997,
Math::BigInt::CalcEmu,1.998,
Math::BigInt::FastCalc,0.30,
Math::BigInt::Trace,0.32,
Math::BigRat,0.2604,
Math::Complex,1.59,
Math::Trig,1.23,
Memoize,1.03,
Memoize::AnyDBM_File,1.03,
Memoize::Expire,1.03,
Memoize::ExpireFile,1.03,
Memoize::ExpireTest,1.03,
Memoize::NDBM_File,1.03,
Memoize::SDBM_File,1.03,
Memoize::Storable,1.03,
Module::Build,0.4003,
Module::Build::Base,0.4003,
Module::Build::Compat,0.4003,
Module::Build::Config,0.4003,
Module::Build::ConfigData,,undefined
Module::Build::Cookbook,0.4003,
Module::Build::Dumper,0.4003,
Module::Build::ModuleInfo,0.4003,
Module::Build::Notes,0.4003,
Module::Build::PPMMaker,0.4003,
Module::Build::Platform::Amiga,0.4003,
Module::Build::Platform::Default,0.4003,
Module::Build::Platform::EBCDIC,0.4003,
Module::Build::Platform::MPEiX,0.4003,
Module::Build::Platform::MacOS,0.4003,
Module::Build::Platform::RiscOS,0.4003,
Module::Build::Platform::Unix,0.4003,
Module::Build::Platform::VMS,0.4003,
Module::Build::Platform::VOS,0.4003,
Module::Build::Platform::Windows,0.4003,
Module::Build::Platform::aix,0.4003,
Module::Build::Platform::cygwin,0.4003,
Module::Build::Platform::darwin,0.4003,
Module::Build::Platform::os2,0.4003,
Module::Build::PodParser,0.4003,
Module::Build::Version,0.87,
Module::Build::YAML,1.41,
Module::CoreList,2.96,
Module::CoreList::TieHashDelta,2.96,
Module::CoreList::Utils,2.96,
Module::Load,0.24,
Module::Load::Conditional,0.54,
Module::Loaded,0.08,
Module::Metadata,1.000011,
Module::Pluggable,4.7,
Module::Pluggable::Object,4.6,
Moped::Msg,0.01,
NDBM_File,1.12,
NEXT,0.65,
Net::Cmd,2.29,
Net::Config,1.11,
Net::Domain,2.20,
Net::FTP,2.77,
Net::FTP::A,1.18,
Net::FTP::E,0.01,
Net::FTP::I,1.12,
Net::FTP::L,0.01,
Net::FTP::dataconn,0.11,
Net::NNTP,2.24,
Net::Netrc,2.12,
Net::POP3,2.29,
Net::Ping,2.41,
Net::SMTP,2.31,
Net::Time,2.10,
Net::hostent,1.01,
Net::netent,1.00,
Net::protoent,1.00,
Net::servent,1.01,
O,1.01,
ODBM_File,1.12,
Object::Accessor,0.46,
Opcode,1.25,
POSIX,1.32,
Package::Constants,0.02,
Params::Check,0.36,
Parse::CPAN::Meta,1.4404,
Perl::OSType,1.003,
PerlIO,1.07,
PerlIO::encoding,0.16,
PerlIO::mmap,0.011,
PerlIO::scalar,0.16,
PerlIO::via,0.12,
PerlIO::via::QuotedPrint,0.07,
Pod::Checker,1.60,
Pod::Escapes,1.04,
Pod::Find,1.60,
Pod::Functions,1.06,
Pod::Functions::Functions,1.06,
Pod::Html,1.18,
Pod::InputObjects,1.60,
Pod::LaTeX,0.61,
Pod::Man,2.27,
Pod::ParseLink,1.10,
Pod::ParseUtils,1.60,
Pod::Parser,1.60,
Pod::Perldoc,3.19,
Pod::Perldoc::BaseTo,3.19,
Pod::Perldoc::GetOptsOO,3.19,
Pod::Perldoc::ToANSI,3.19,
Pod::Perldoc::ToChecker,3.19,
Pod::Perldoc::ToMan,3.19,
Pod::Perldoc::ToNroff,3.19,
Pod::Perldoc::ToPod,3.19,
Pod::Perldoc::ToRtf,3.19,
Pod::Perldoc::ToTerm,3.19,
Pod::Perldoc::ToText,3.19,
Pod::Perldoc::ToTk,3.19,
Pod::Perldoc::ToXml,3.19,
Pod::PlainText,2.06,
Pod::Select,1.60,
Pod::Simple,3.28,
Pod::Simple::BlackBox,3.28,
Pod::Simple::Checker,3.28,
Pod::Simple::Debug,3.28,
Pod::Simple::DumpAsText,3.28,
Pod::Simple::DumpAsXML,3.28,
Pod::Simple::HTML,3.28,
Pod::Simple::HTMLBatch,3.28,
Pod::Simple::HTMLLegacy,5.01,
Pod::Simple::LinkSection,3.28,
Pod::Simple::Methody,3.28,
Pod::Simple::Progress,3.28,
Pod::Simple::PullParser,3.28,
Pod::Simple::PullParserEndToken,3.28,
Pod::Simple::PullParserStartToken,3.28,
Pod::Simple::PullParserTextToken,3.28,
Pod::Simple::PullParserToken,3.28,
Pod::Simple::RTF,3.28,
Pod::Simple::Search,3.28,
Pod::Simple::SimpleTree,3.28,
Pod::Simple::Text,3.28,
Pod::Simple::TextContent,3.28,
Pod::Simple::TiedOutFH,3.28,
Pod::Simple::Transcode,3.28,
Pod::Simple::TranscodeDumb,3.28,
Pod::Simple::TranscodeSmart,3.28,
Pod::Simple::XHTML,3.28,
Pod::Simple::XMLOutStream,3.28,
Pod::Text,3.17,
Pod::Text::Color,2.07,
Pod::Text::Overstrike,2.05,
Pod::Text::Termcap,2.07,
Pod::Usage,1.61,
SDBM_File,1.09,
Safe,2.35,
Scalar::Util,1.27,
Search::Dict,1.07,
SelectSaver,1.02,
SelfLoader,1.21,
Socket,2.009,
Storable,2.41,
Symbol,1.07,
Sys::Hostname,1.17,
Sys::Syslog,0.32,
Sys::Syslog::Win32,,undefined
TAP::Base,3.26,
TAP::Formatter::Base,3.26,
TAP::Formatter::Color,3.26,
TAP::Formatter::Console,3.26,
TAP::Formatter::Console::ParallelSession,3.26,
TAP::Formatter::Console::Session,3.26,
TAP::Formatter::File,3.26,
TAP::Formatter::File::Session,3.26,
TAP::Formatter::Session,3.26,
TAP::Harness,3.26,
TAP::Object,3.26,
TAP::Parser,3.26,
TAP::Parser::Aggregator,3.26,
TAP::Parser::Grammar,3.26,
TAP::Parser::Iterator,3.26,
TAP::Parser::Iterator::Array,3.26,
TAP::Parser::Iterator::Process,3.26,
TAP::Parser::Iterator::Stream,3.26,
TAP::Parser::IteratorFactory,3.26,
TAP::Parser::Multiplexer,3.26,
TAP::Parser::Result,3.26,
TAP::Parser::Result::Bailout,3.26,
TAP::Parser::Result::Comment,3.26,
TAP::Parser::Result::Plan,3.26,
TAP::Parser::Result::Pragma,3.26,
TAP::Parser::Result::Test,3.26,
TAP::Parser::Result::Unknown,3.26,
TAP::Parser::Result::Version,3.26,
TAP::Parser::Result::YAML,3.26,
TAP::Parser::ResultFactory,3.26,
TAP::Parser::Scheduler,3.26,
TAP::Parser::Scheduler::Job,3.26,
TAP::Parser::Scheduler::Spinner,3.26,
TAP::Parser::Source,3.26,
TAP::Parser::SourceHandler,3.26,
TAP::Parser::SourceHandler::Executable,3.26,
TAP::Parser::SourceHandler::File,3.26,
TAP::Parser::SourceHandler::Handle,3.26,
TAP::Parser::SourceHandler::Perl,3.26,
TAP::Parser::SourceHandler::RawTAP,3.26,
TAP::Parser::Utils,3.26,
TAP::Parser::YAMLish::Reader,3.26,
TAP::Parser::YAMLish::Writer,3.26,
Term::ANSIColor,4.02,
Term::Cap,1.13,
Term::Complete,1.402,
Term::ReadLine,1.12,
Term::UI,0.34,
Term::UI::History,,undefined
Test,1.26,
Test::Builder,0.98,
Test::Builder::Module,0.98,
Test::Builder::Tester,1.22,
Test::Builder::Tester::Color,1.22,
Test::Harness,3.26,
Test::More,0.98,
Test::Simple,0.98,
Text::Abbrev,1.02,
Text::Balanced,2.02,
Text::ParseWords,3.28,
Text::Soundex,3.04,
Text::Tabs,2012.0818,
Text::Wrap,2012.0818,
Thread,3.02,
Thread::Queue,3.02,
Thread::Semaphore,2.12,
Tie::Array,1.05,
Tie::File,0.99,
Tie::Handle,4.2,
Tie::Hash,1.04,
Tie::Hash::NamedCapture,0.09,
Tie::Memoize,1.1,
Tie::RefHash,1.39,
Tie::Scalar,1.02,
Tie::StdHandle,4.3,
Tie::SubstrHash,1.00,
Time::HiRes,1.9725,
Time::Local,1.2300,
Time::Piece,1.20_01,
Time::Seconds,,undefined
Time::gmtime,1.03,
Time::localtime,1.02,
Time::tm,1.00,
UNIVERSAL,1.11,
Unicode,6.2.0,
Unicode::Collate,0.97,
Unicode::Collate::CJK::Big5,0.65,
Unicode::Collate::CJK::GB2312,0.65,
Unicode::Collate::CJK::JISX0208,0.64,
Unicode::Collate::CJK::Korean,0.93,
Unicode::Collate::CJK::Pinyin,0.85,
Unicode::Collate::CJK::Stroke,0.94,
Unicode::Collate::CJK::Zhuyin,0.94,
Unicode::Collate::Locale,0.96,
Unicode::Normalize,1.16,
Unicode::UCD,0.51,
User::grent,1.01,
User::pwent,1.00,
VMS::DCLsym,1.05,
VMS::Stdio,2.4,
Win32,0.47,
Win32API::File,0.1201,
Win32API::File::ExtUtils::Myconst2perl,1,
Win32CORE,0.04,
XS::APItest,0.51,
XS::Typemap,0.10,
XSLoader,0.16,
_charnames,1.36,
arybase,0.06,
attributes,0.21,
autodie,2.13,
autodie::exception,2.13,
autodie::exception::system,2.13,
autodie::hints,2.13,
autouse,1.07,
